The results are ordered in the same order as in c_rc_df (according to protein name),,,,,,,,
pos_1_res4_ft,pos_2_res4_ft,pos_3_res4_ft,pos_1_res7_ft,pos_2_res7_ft,pos_3_res7_ft,pos_1_res12_ft,pos_2_res12_ft,pos_3_res12_ft
0.923315562,-0.332258924,0.750324887,0.924311635,-0.25688284,0.709582101,0.921623188,-0.212101263,0.713363702
0.982366315,0.850082953,0.990548933,0.973620294,0.954621497,0.98176872,0.977445352,0.987201826,0.973692706
0.450130714,-0.889373801,0.75125032,0.431124654,-0.89093968,0.654859823,0.533338439,-0.852772919,0.675920143
0.128483347,0.995597043,0.99055834,0.467570897,0.981335494,0.976823178,0.537028709,0.980145213,0.999508736
0.827378936,0.88521456,0.920715122,0.636742677,0.915670756,0.096205211,0.585240971,0.922479179,0.903394908
0.665241314,0.858608631,-0.233714297,0.470403343,0.830492895,-0.409937465,0.671092246,0.892055395,-0.300381551
0.77477604,0.201358609,0.99365507,0.967279282,0.667625795,0.998750687,0.971036251,0.779982391,0.998606679
0.666289453,0.69649822,0.378182242,0.871408733,0.672740025,0.263565412,0.847016084,0.675791547,0.364938996
0.999712537,0.997282679,0.999598337,0.999674376,0.9954142,0.987108086,0.999698447,0.998135865,0.994167445
0.919381134,-0.786833129,0.569818141,0.983832954,-0.892325885,0.853370774,0.985955167,-0.619969844,0.933766449
0.717560775,-0.526561085,0.193923898,0.377074419,-0.507697042,0.158550564,0.040104207,-0.465186791,-0.027271897
0.994416169,0.994341923,0.999701544,0.994174661,0.991912261,0.986884459,0.994162007,0.995744323,0.994421682
0.100306487,0.858252372,0.141726071,0.116414052,0.900460194,-0.899348115,0.137119746,0.840266273,-0.564041745
-0.696219422,0.936484473,0.999443562,-0.582248189,0.856499639,0.957625436,-0.369728957,0.566159938,0.9931187
0.36105793,0.865817106,0.989899601,0.558206047,0.777262316,0.995619022,0.54753194,0.783610023,0.996957579
0.558968148,-0.085955697,-0.165811391,0.445531862,0.036971533,0.019460682,0.533060898,0.173534529,-0.013431417
0.99976496,0.202996514,0.947193319,0.999854335,0.235469976,0.985463512,0.999803443,0.180932951,0.972807264
0.550328146,0.599199187,-0.361359123,0.243883042,0.603631424,-0.214434758,0.264295467,0.560511334,-0.001305434
0.53268043,0.988071382,0.097543143,0.73115147,0.984405798,-0.087815674,0.685626991,0.977572668,0.005588999
0.999089605,0.994224943,0.999688663,0.999606592,0.950612303,0.982910157,0.999671305,0.981565977,0.991119081
0.361433391,0.98707072,0.998909444,0.480310227,0.986152401,0.997484353,0.212801856,0.968436114,0.999502754
0.812650407,0.969719159,-0.812194484,0.711093322,0.962427077,-0.261318629,0.588401069,0.935892036,-0.728355575
0.535516493,0.996974165,0.99373462,0.604986664,0.996688956,0.979605682,0.500935963,0.99263213,0.987365248
0.607604841,0.981424987,0.995032001,0.60615712,0.98249601,0.983502809,0.601479756,0.968524683,0.999140586
0.59288694,0.439153678,0.995267479,0.435704174,0.579575361,0.976067282,0.505382026,0.574617095,0.997124861
0.68724393,0.827230197,0.998128849,0.620554357,0.884569607,0.988993059,0.644585637,0.929714555,0.999360389
0.406633307,0.867244567,0.928285789,0.563715807,0.869496884,0.931311408,0.40910126,0.892443129,0.938252386
0.644325391,-0.234269318,0.975797848,0.551765928,-0.085460974,0.954932741,0.57196994,-0.176828294,0.983149362
-0.821127683,0.867952602,0.984203783,-0.879007133,0.957352248,-0.32348633,-0.629065473,0.991987314,0.194861174
0.70859581,0.210354104,0.713352303,0.771644444,0.346671247,0.903449746,0.748815645,0.256276703,0.754261753
-0.81122661,0.073372237,0.652593266,-0.784169004,-0.343837302,0.092856598,-0.763604528,-0.310448821,0.037823747
0.997052373,0.830812023,0.753471914,0.996510772,0.947636819,0.300984462,0.999230572,0.955581444,0.977670282
0.523404004,0.7363595,0.99793452,0.688411257,0.968959489,0.994099754,0.628497939,0.940646029,0.997668692
0.384313112,-0.279533282,0.459785426,0.138209459,-0.410126809,-0.241357931,0.151098114,-0.049324994,-0.55855716
0.122198636,0.997861148,-0.669619806,0.271158219,0.996082832,0.372030821,0.061722998,0.99832834,0.670638614
0.817165004,-0.279404227,-0.018115517,0.815976799,-0.609252467,-0.701330622,0.740182155,-0.961961337,0.060049539
0.978846883,0.700086031,0.858594856,0.980915892,0.74146407,0.88272176,0.981808884,0.729741823,0.898534953
0.998892419,0.678076704,0.998798567,0.997568619,0.6858675,0.978653777,0.998514205,0.553781936,0.942176459
0.999224662,0.232967482,0.681841079,0.999457586,-0.018986683,0.925717337,0.999518052,0.00131978,0.880983723
0.007240391,0.885986818,0.99790911,0.043454013,0.957489938,0.991938913,0.071123546,0.987077406,0.999638969
0.985868004,0.661219907,-0.370249158,0.987911135,0.863563508,0.302435397,0.99124087,0.911453958,-0.116908299
0.99163087,0.837606305,-0.297098044,0.993529933,0.958198881,0.694365141,0.993040422,0.988392475,0.932000099
0.429520645,0.769391551,0.99963693,0.634565646,0.757829848,0.99706779,0.630210189,-0.016333902,0.998335817
0.92525488,0.268006857,0.564981892,0.840941275,0.256995388,-0.651441612,0.880916199,0.267374626,0.748811537
0.930060487,0.998541355,0.998494856,0.924210597,0.999404035,0.97116851,0.958562404,0.999632957,0.998574108
0.878138027,0.997476127,0.325739686,0.878555772,0.986992819,0.980635291,0.878515119,0.986750204,0.590186595
0.998767652,0.996754193,-0.214455413,0.999219554,0.988544077,0.527260374,0.999422271,0.978474216,0.359827972
0.524945299,0.997784486,0.999905254,0.840565065,0.997037462,0.998625082,0.740657837,0.994989058,0.999368964
0.0826897,0.996587391,-0.314094859,0.331467361,0.989805851,-0.140232149,0.283041463,0.994114749,-0.528924282
-0.223981207,0.85841514,0.99633468,0.342582283,0.96387539,0.999913875,0.163170918,0.98908116,0.999849702
-0.33292454,0.946018483,0.469519274,-0.584816993,0.952752748,-0.004399654,-0.494052034,0.944580178,-0.24456866
0.451989981,-0.550833645,0.827748587,0.367560293,-0.566685872,-0.217934917,0.448015072,-0.638963898,-0.098868721
